2
3 50 5 160

Solution history:
B_obj   B_dis   B_sim   C_obj   C_dis   C_sim   neighbor   iterations   time   scores
0.9804570294943096 1530.7858608322153 0.04444444444444444 0.9804570294943096 1530.7858608322153 0.04444444444444444 0 0 0 3.0
0.9804570294943096 1530.7858608322153 0.04444444444444444 0.9976867105268666 1587.484130130861 0.04722222222222222 f_swap_t 100 0.616278886795044 4.01
0.9804570294943096 1530.7858608322153 0.04444444444444444 0.9869252697691812 1554.7128126400446 0.04722222222222222 f_swap_t 100 1.419895887374878 4.9699
0.9781942243121493 1532.3540830442832 0.05 0.9781942243121493 1532.3540830442832 0.05 f_swap_t 100 2.097625255584717 5.9202010000000005
0.9781942243121493 1532.3540830442832 0.05 1.0149459844607716 1640.0429982680132 0.04722222222222222 f_swap_t 100 2.829857110977173 6.87099899
0.9781942243121493 1532.3540830442832 0.05 1.0490564744319517 1773.524728095657 0.06666666666666667 f_swap_t 100 3.413884401321411 7.8422890001
0.9781942243121493 1532.3540830442832 0.05 1.0656889380437273 1798.7976854418418 0.05 f_swap_t 100 4.07442307472229 8.813866110099
0.9781942243121493 1532.3540830442832 0.05 1.0976095265259054 1857.938304745389 0.025 f_swap_t 100 4.672669172286987 9.73572744899801
0.9781942243121493 1532.3540830442832 0.05 1.057910966324444 1813.177459625653 0.075 f_swap_t 100 5.348324775695801 10.768370174508028
0.9781942243121493 1532.3540830442832 0.05 1.0357954581315874 1716.223492669655 0.05555555555555556 f_swap_t 100 5.9922096729278564 11.690686472762948
0.9781942243121493 1532.3540830442832 0.05 1.0091898854594101 1685.957002192034 0.08888888888888888 f_swap_t 100 6.552767276763916 12.573779608035318
0.9781942243121493 1532.3540830442832 0.05 1.0091898854594101 1685.957002192034 0.08888888888888888 f_swap_t 100 7.170333385467529 13.448041811954965
0.9781942243121493 1532.3540830442832 0.05 1.0981993670282397 1865.172471798752 0.02857142857142857 f_swap_t 100 7.873931169509888 14.423561393835415
0.9781942243121493 1532.3540830442832 0.05 1.0712870150328242 1811.615731158627 0.04722222222222222 f_swap_t 100 8.2749764919281 15.309325779897062
0.9781942243121493 1532.3540830442832 0.05 1.1299109540261152 1979.1437498681123 0.04 f_swap_t 100 8.937188386917114 16.236232522098092
0.9781942243121493 1532.3540830442832 0.05 1.1173130806605074 1940.7800291480407 0.04 f_swap_t 100 9.707881927490234 17.15387019687711
0.9781942243121493 1532.3540830442832 0.05 1.1436867825436627 2021.0946428956258 0.04 f_swap_t 100 10.252679347991943 18.152331494908342
0.9781942243121493 1532.3540830442832 0.05 1.071729000433227 1774.8960173535684 0.02222222222222222 f_swap_t 100 10.837631464004517 19.12080817995926
0.9781942243121493 1532.3540830442832 0.05 1.0697018877214781 1772.9524638833502 0.025 f_swap_t 100 11.279198169708252 19.939600098159666
0.9781942243121493 1532.3540830442832 0.05 1.0614112504346926 1747.7053698515954 0.025 f_swap_t 100 12.06037974357605 20.74020409717807
0.9781942243121493 1532.3540830442832 0.05 1.0614112504346926 1747.7053698515954 0.025 f_swap_t 100 12.660850524902344 21.53280205620629
